Home team,Away team,result,date
Athletic,FC Barcelona,1:0,16/08/19
Celta de Vigo,Real Madrid,1:3,16/08/19
Valencia,Real Sociedad,1:1,16/08/19
RCD Mallorca,SD Eibar,2:1,16/08/19
CD Leganés,CA Osasuna,0:1,16/08/19
Villarreal,Granada CF,4:4,16/08/19
Alavés,Levante,1:0,16/08/19
Espanyol,Sevilla FC,0:2,16/08/19
Real Betis,Real Valladolid,1:2,16/08/19
Atlético Madrid,Getafe,1:0,16/08/19
Granada CF,Sevilla FC,0:1,23/08/19
Levante,Villarreal,2:1,23/08/19
CA Osasuna,SD Eibar,0:0,23/08/19
Real Madrid,Real Valladolid,1:1,23/08/19
Celta de Vigo,Valencia,1:0,23/08/19
Getafe,Athletic,1:1,23/08/19
Alavés,Espanyol,0:0,23/08/19
RCD Mallorca,Real Sociedad,0:1,23/08/19
CD Leganés,Atlético Madrid,0:1,23/08/19
FC Barcelona,Real Betis,5:2,23/08/19
Sevilla FC,Celta de Vigo,1:1,31/08/19
Athletic,Real Sociedad,2:0,31/08/19
CA Osasuna,FC Barcelona,2:2,31/08/19
Getafe,Alavés,1:1,31/08/19
Levante,Real Valladolid,2:0,31/08/19
Real Betis,CD Leganés,2:1,31/08/19
Valencia,RCD Mallorca,2:0,31/08/19
Atlético Madrid,SD Eibar,3:2,31/08/19
Espanyol,Granada CF,0:3,31/08/19
Villarreal,Real Madrid,2:2,31/08/19
RCD Mallorca,Athletic,0:0,13/09/19
Real Madrid,Levante,3:2,13/09/19
CD Leganés,Villarreal,0:3,13/09/19
Real Sociedad,Atlético Madrid,2:0,13/09/19
FC Barcelona,Valencia,5:2,13/09/19
SD Eibar,Espanyol,1:2,13/09/19
Alavés,Sevilla FC,0:1,13/09/19
Celta de Vigo,Granada CF,0:2,13/09/19
Real Valladolid,CA Osasuna,1:1,13/09/19
Real Betis,Getafe,1:1,13/09/19
CA Osasuna,Real Betis,0:0,20/09/19
Villarreal,Real Valladolid,2:0,20/09/19
Levante,SD Eibar,0:0,20/09/19
Atlético Madrid,Celta de Vigo,0:0,20/09/19
Granada CF,FC Barcelona,2:0,20/09/19
Getafe,RCD Mallorca,4:2,20/09/19
Espanyol,Real Sociedad,1:3,20/09/19
Valencia,CD Leganés,1:1,20/09/19
Athletic,Alavés,2:0,20/09/19
Sevilla FC,Real Madrid,0:1,20/09/19
Real Valladolid,Granada CF,1:1,24/09/19
Real Betis,Levante,3:1,24/09/19
FC Barcelona,Villarreal,2:1,24/09/19
CD Leganés,Athletic,1:1,24/09/19
RCD Mallorca,Atlético Madrid,0:2,24/09/19
Valencia,Getafe,3:3,24/09/19
Real Madrid,CA Osasuna,2:0,24/09/19
SD Eibar,Sevilla FC,3:2,24/09/19
Celta de Vigo,Espanyol,1:1,24/09/19
Real Sociedad,Alavés,3:0,24/09/19
Villarreal,Real Betis,5:1,28/09/19
Athletic,Valencia,0:1,28/09/19
Getafe,FC Barcelona,0:2,28/09/19
Granada CF,CD Leganés,1:0,28/09/19
Atlético Madrid,Real Madrid,0:0,28/09/19
Espanyol,Real Valladolid,0:2,28/09/19
SD Eibar,Celta de Vigo,2:0,28/09/19
Alavés,RCD Mallorca,2:0,28/09/19
Levante,CA Osasuna,1:1,28/09/19
Sevilla FC,Real Sociedad,3:2,28/09/19
Real Betis,SD Eibar,1:1,04/10/19
CD Leganés,Levante,1:2,04/10/19
Real Madrid,Granada CF,4:2,04/10/19
Valencia,Alavés,2:1,04/10/19
CA Osasuna,Villarreal,2:1,04/10/19
RCD Mallorca,Espanyol,2:0,04/10/19
Celta de Vigo,Athletic,1:0,04/10/19
Real Valladolid,Atlético Madrid,0:0,04/10/19
Real Sociedad,Getafe,1:2,04/10/19
FC Barcelona,Sevilla FC,4:0,04/10/19
Granada CF,CA Osasuna,1:0,18/10/19
SD Eibar,FC Barcelona,0:3,18/10/19
Atlético Madrid,Valencia,1:1,18/10/19
Getafe,CD Leganés,2:0,18/10/19
RCD Mallorca,Real Madrid,1:0,18/10/19
Alavés,Celta de Vigo,2:0,18/10/19
Real Sociedad,Real Betis,3:1,18/10/19
Espanyol,Villarreal,0:1,18/10/19
Athletic,Real Valladolid,1:1,18/10/19
Sevilla FC,Levante,1:0,18/10/19
Villarreal,Alavés,4:1,25/10/19
CD Leganés,RCD Mallorca,1:0,25/10/19
Real Valladolid,SD Eibar,2:0,25/10/19
Atlético Madrid,Athletic,2:0,25/10/19
Celta de Vigo,Real Sociedad,0:1,25/10/19
Granada CF,Real Betis,1:0,25/10/19
Levante,Espanyol,0:1,25/10/19
Sevilla FC,Getafe,2:0,25/10/19
CA Osasuna,Valencia,3:1,25/10/19
FC Barcelona,Real Madrid,0:0,25/10/19
Alavés,Atlético Madrid,1:1,29/10/19
FC Barcelona,Real Valladolid,5:1,29/10/19
Real Sociedad,Levante,1:2,29/10/19
Valencia,Sevilla FC,1:1,29/10/19
Athletic,Espanyol,3:0,29/10/19
Real Betis,Celta de Vigo,2:1,29/10/19
Real Madrid,CD Leganés,5:0,29/10/19
SD Eibar,Villarreal,2:1,29/10/19
RCD Mallorca,CA Osasuna,2:2,29/10/19
Getafe,Granada CF,3:1,29/10/19
Espanyol,Valencia,1:2,02/11/19
Levante,FC Barcelona,3:1,02/11/19
Sevilla FC,Atlético Madrid,1:1,02/11/19
Real Madrid,Real Betis,0:0,02/11/19
Real Valladolid,RCD Mallorca,3:0,02/11/19
Villarreal,Athletic,0:0,02/11/19
CA Osasuna,Alavés,4:2,02/11/19
Celta de Vigo,Getafe,0:1,02/11/19
CD Leganés,SD Eibar,1:2,02/11/19
Granada CF,Real Sociedad,1:2,02/11/19
Real Sociedad,CD Leganés,1:1,08/11/19
Alavés,Real Valladolid,3:0,08/11/19
Valencia,Granada CF,2:0,08/11/19
SD Eibar,Real Madrid,0:4,08/11/19
FC Barcelona,Celta de Vigo,4:1,08/11/19
RCD Mallorca,Villarreal,3:1,08/11/19
Athletic,Levante,2:1,08/11/19
Atlético Madrid,Espanyol,3:1,08/11/19
Getafe,CA Osasuna,0:0,08/11/19
Real Betis,Sevilla FC,1:2,08/11/19
Levante,RCD Mallorca,2:1,22/11/19
CD Leganés,FC Barcelona,1:2,22/11/19
Real Betis,Valencia,2:1,22/11/19
Granada CF,Atlético Madrid,1:1,22/11/19
Real Madrid,Real Sociedad,3:1,22/11/19
Espanyol,Getafe,1:1,22/11/19
CA Osasuna,Athletic,1:2,22/11/19
SD Eibar,Alavés,0:2,22/11/19
Villarreal,Celta de Vigo,1:3,22/11/19
Real Valladolid,Sevilla FC,0:1,22/11/19
Celta de Vigo,Real Valladolid,0:0,29/11/19
Alavés,Real Madrid,1:2,29/11/19
Real Sociedad,SD Eibar,4:1,29/11/19
RCD Mallorca,Real Betis,1:2,29/11/19
Valencia,Villarreal,2:1,29/11/19
Sevilla FC,CD Leganés,1:0,29/11/19
Athletic,Granada CF,2:0,29/11/19
Espanyol,CA Osasuna,2:4,29/11/19
Getafe,Levante,4:0,29/11/19
Atlético Madrid,FC Barcelona,0:1,29/11/19
Villarreal,Atlético Madrid,0:0,06/12/19
Real Madrid,Espanyol,2:0,06/12/19
Granada CF,Alavés,3:0,06/12/19
Levante,Valencia,2:4,06/12/19
FC Barcelona,RCD Mallorca,5:2,06/12/19
SD Eibar,Getafe,0:1,06/12/19
Real Betis,Athletic,3:2,06/12/19
Real Valladolid,Real Sociedad,0:0,06/12/19
CD Leganés,Celta de Vigo,3:2,06/12/19
CA Osasuna,Sevilla FC,1:1,06/12/19
Alavés,CD Leganés,1:1,13/12/19
Granada CF,Levante,1:2,13/12/19
Real Sociedad,FC Barcelona,2:2,13/12/19
Athletic,SD Eibar,0:0,13/12/19
Atlético Madrid,CA Osasuna,2:0,13/12/19
Getafe,Real Valladolid,2:0,13/12/19
Celta de Vigo,RCD Mallorca,2:2,13/12/19
Espanyol,Real Betis,2:2,13/12/19
Sevilla FC,Villarreal,1:2,13/12/19
Valencia,Real Madrid,1:1,13/12/19
SD Eibar,Granada CF,3:0,20/12/19
RCD Mallorca,Sevilla FC,0:2,20/12/19
FC Barcelona,Alavés,4:1,20/12/19
Villarreal,Getafe,1:0,20/12/19
Real Valladolid,Valencia,1:1,20/12/19
CD Leganés,Espanyol,2:0,20/12/19
CA Osasuna,Real Sociedad,3:4,20/12/19
Real Betis,Atlético Madrid,1:2,20/12/19
Levante,Celta de Vigo,3:1,20/12/19
Real Madrid,Athletic,0:0,20/12/19
Real Valladolid,CD Leganés,2:2,03/01/20
Sevilla FC,Athletic,1:1,03/01/20
Valencia,SD Eibar,1:0,03/01/20
Getafe,Real Madrid,0:3,03/01/20
Atlético Madrid,Levante,2:1,03/01/20
Espanyol,FC Barcelona,2:2,03/01/20
Granada CF,RCD Mallorca,1:0,03/01/20
Real Sociedad,Villarreal,1:2,03/01/20
Alavés,Real Betis,1:1,03/01/20
Celta de Vigo,CA Osasuna,1:1,17/01/20
CD Leganés,Getafe,0:3,17/01/20
Levante,Alavés,0:1,17/01/20
Real Madrid,Sevilla FC,2:1,17/01/20
CA Osasuna,Real Valladolid,0:0,17/01/20
SD Eibar,Atlético Madrid,2:0,17/01/20
RCD Mallorca,Valencia,4:1,17/01/20
Real Betis,Real Sociedad,3:0,17/01/20
Villarreal,Espanyol,1:2,17/01/20
Athletic,Celta de Vigo,1:1,17/01/20
FC Barcelona,Granada CF,1:0,17/01/20
CA Osasuna,Levante,2:0,24/01/20
Espanyol,Athletic,1:1,24/01/20
Valencia,FC Barcelona,2:0,24/01/20
Alavés,Villarreal,1:2,24/01/20
Sevilla FC,Granada CF,2:0,24/01/20
Atlético Madrid,CD Leganés,0:0,24/01/20
Celta de Vigo,SD Eibar,0:0,24/01/20
Getafe,Real Betis,1:0,24/01/20
Real Sociedad,RCD Mallorca,3:0,24/01/20
Real Valladolid,Real Madrid,0:1,24/01/20
Granada CF,Espanyol,2:1,01/02/20
Real Madrid,Atlético Madrid,1:0,01/02/20
RCD Mallorca,Real Valladolid,0:1,01/02/20
Valencia,Celta de Vigo,1:0,01/02/20
CD Leganés,Real Sociedad,2:1,01/02/20
SD Eibar,Real Betis,1:1,01/02/20
Athletic,Getafe,0:2,01/02/20
Sevilla FC,Alavés,1:1,01/02/20
Villarreal,CA Osasuna,3:1,01/02/20
FC Barcelona,Levante,2:1,01/02/20
Alavés,SD Eibar,2:1,07/02/20
Levante,CD Leganés,2:0,07/02/20
Getafe,Valencia,3:0,07/02/20
Real Valladolid,Villarreal,1:1,07/02/20
Atlético Madrid,Granada CF,1:0,07/02/20
Espanyol,RCD Mallorca,1:0,07/02/20
Real Sociedad,Athletic,2:1,07/02/20
CA Osasuna,Real Madrid,1:4,07/02/20
Celta de Vigo,Sevilla FC,2:1,07/02/20
Real Betis,FC Barcelona,2:3,07/02/20
Valencia,Atlético Madrid,2:2,14/02/20
RCD Mallorca,Alavés,1:0,14/02/20
FC Barcelona,Getafe,2:1,14/02/20
Villarreal,Levante,2:1,14/02/20
Granada CF,Real Valladolid,2:1,14/02/20
Sevilla FC,Espanyol,2:2,14/02/20
CD Leganés,Real Betis,0:0,14/02/20
Athletic,CA Osasuna,0:1,14/02/20
Real Madrid,Celta de Vigo,2:2,14/02/20
SD Eibar,Real Sociedad,1:2,14/02/20
Real Betis,RCD Mallorca,3:3,21/02/20
Celta de Vigo,CD Leganés,1:0,21/02/20
FC Barcelona,SD Eibar,5:0,21/02/20
Real Sociedad,Valencia,3:0,21/02/20
Levante,Real Madrid,1:0,21/02/20
CA Osasuna,Granada CF,0:3,21/02/20
Alavés,Athletic,2:1,21/02/20
Real Valladolid,Espanyol,2:1,21/02/20
Getafe,Sevilla FC,0:3,21/02/20
Atlético Madrid,Villarreal,3:1,21/02/20
Real Sociedad,Real Valladolid,1:0,28/02/20
SD Eibar,Levante,3:0,28/02/20
Valencia,Real Betis,2:1,28/02/20
CD Leganés,Alavés,1:1,28/02/20
Granada CF,Celta de Vigo,0:0,28/02/20
Sevilla FC,CA Osasuna,3:2,28/02/20
Athletic,Villarreal,1:0,28/02/20
Espanyol,Atlético Madrid,1:1,28/02/20
RCD Mallorca,Getafe,0:1,28/02/20
Real Madrid,FC Barcelona,2:0,28/02/20
Alavés,Valencia,1:1,06/03/20
SD Eibar,RCD Mallorca,1:2,06/03/20
Atlético Madrid,Sevilla FC,2:2,06/03/20
FC Barcelona,Real Sociedad,1:0,06/03/20
Getafe,Celta de Vigo,0:0,06/03/20
CA Osasuna,Espanyol,1:0,06/03/20
Real Valladolid,Athletic,1:4,06/03/20
Levante,Granada CF,1:1,06/03/20
Villarreal,CD Leganés,1:2,06/03/20
Real Betis,Real Madrid,2:1,06/03/20
Athletic,Atlético Madrid,ppd.,15/03/20
Celta de Vigo,Villarreal,ppd.,15/03/20
Espanyol,Alavés,ppd.,15/03/20
Granada CF,Getafe,ppd.,15/03/20
CD Leganés,Real Valladolid,ppd.,15/03/20
RCD Mallorca,FC Barcelona,ppd.,15/03/20
Real Madrid,SD Eibar,ppd.,15/03/20
Real Sociedad,CA Osasuna,ppd.,15/03/20
Sevilla FC,Real Betis,ppd.,15/03/20
Valencia,Levante,ppd.,15/03/20
Alavés,Real Sociedad,ppd.,22/03/20
FC Barcelona,CD Leganés,ppd.,22/03/20
Real Betis,Granada CF,ppd.,22/03/20
SD Eibar,Athletic,ppd.,22/03/20
Getafe,Espanyol,ppd.,22/03/20
Levante,Sevilla FC,ppd.,22/03/20
CA Osasuna,Atlético Madrid,ppd.,22/03/20
Real Madrid,Valencia,ppd.,22/03/20
Villarreal,RCD Mallorca,ppd.,22/03/20
Real Valladolid,Celta de Vigo,ppd.,22/03/20
Athletic,Real Betis,ppd.,05/04/20
Atlético Madrid,Real Valladolid,ppd.,05/04/20
Celta de Vigo,Alavés,ppd.,05/04/20
Espanyol,Levante,ppd.,05/04/20
Getafe,SD Eibar,ppd.,05/04/20
Granada CF,Villarreal,ppd.,05/04/20
RCD Mallorca,CD Leganés,ppd.,05/04/20
Real Sociedad,Real Madrid,ppd.,05/04/20
Sevilla FC,FC Barcelona,ppd.,05/04/20
Valencia,CA Osasuna,ppd.,05/04/20
Alavés,CA Osasuna,ppd.,12/04/20
FC Barcelona,Athletic,ppd.,12/04/20
Real Betis,Espanyol,ppd.,12/04/20
SD Eibar,Valencia,ppd.,12/04/20
CD Leganés,Granada CF,ppd.,12/04/20
Levante,Atlético Madrid,ppd.,12/04/20
Real Madrid,RCD Mallorca,ppd.,12/04/20
Real Sociedad,Celta de Vigo,ppd.,12/04/20
Villarreal,Sevilla FC,ppd.,12/04/20
Real Valladolid,Getafe,ppd.,12/04/20
Athletic,RCD Mallorca,ppd.,22/04/20
Atlético Madrid,Alavés,ppd.,22/04/20
Celta de Vigo,FC Barcelona,ppd.,22/04/20
Espanyol,Real Madrid,ppd.,22/04/20
Getafe,Real Sociedad,ppd.,22/04/20
Granada CF,SD Eibar,ppd.,22/04/20
Levante,Real Betis,ppd.,22/04/20
CA Osasuna,CD Leganés,ppd.,22/04/20
Sevilla FC,Real Valladolid,ppd.,22/04/20
Villarreal,Valencia,ppd.,22/04/20
Alavés,Granada CF,ppd.,26/04/20
FC Barcelona,Atlético Madrid,ppd.,26/04/20
Real Betis,Villarreal,ppd.,26/04/20
SD Eibar,CA Osasuna,ppd.,26/04/20
CD Leganés,Sevilla FC,ppd.,26/04/20
RCD Mallorca,Celta de Vigo,ppd.,26/04/20
Real Madrid,Getafe,ppd.,26/04/20
Real Sociedad,Espanyol,ppd.,26/04/20
Valencia,Athletic,ppd.,26/04/20
Real Valladolid,Levante,ppd.,26/04/20
Athletic,Real Madrid,ppd.,03/05/20
Atlético Madrid,RCD Mallorca,ppd.,03/05/20
Celta de Vigo,Real Betis,ppd.,03/05/20
Espanyol,CD Leganés,ppd.,03/05/20
Granada CF,Valencia,ppd.,03/05/20
Levante,Real Sociedad,ppd.,03/05/20
CA Osasuna,Getafe,ppd.,03/05/20
Sevilla FC,SD Eibar,ppd.,03/05/20
Villarreal,FC Barcelona,ppd.,03/05/20
Real Valladolid,Alavés,ppd.,03/05/20
Athletic,Sevilla FC,ppd.,10/05/20
FC Barcelona,Espanyol,ppd.,10/05/20
Real Betis,CA Osasuna,ppd.,10/05/20
Celta de Vigo,Atlético Madrid,ppd.,10/05/20
SD Eibar,CD Leganés,ppd.,10/05/20
Getafe,Villarreal,ppd.,10/05/20
RCD Mallorca,Levante,ppd.,10/05/20
Real Madrid,Alavés,ppd.,10/05/20
Real Sociedad,Granada CF,ppd.,10/05/20
Valencia,Real Valladolid,ppd.,10/05/20
Alavés,Getafe,ppd.,13/05/20
Atlético Madrid,Real Betis,ppd.,13/05/20
Espanyol,SD Eibar,ppd.,13/05/20
Granada CF,Real Madrid,ppd.,13/05/20
CD Leganés,Valencia,ppd.,13/05/20
Levante,Athletic,ppd.,13/05/20
CA Osasuna,Celta de Vigo,ppd.,13/05/20
Sevilla FC,RCD Mallorca,ppd.,13/05/20
Villarreal,Real Sociedad,ppd.,13/05/20
Real Valladolid,FC Barcelona,ppd.,13/05/20
Athletic,CD Leganés,ppd.,17/05/20
FC Barcelona,CA Osasuna,ppd.,17/05/20
Real Betis,Alavés,ppd.,17/05/20
Celta de Vigo,Levante,ppd.,17/05/20
SD Eibar,Real Valladolid,ppd.,17/05/20
Getafe,Atlético Madrid,ppd.,17/05/20
RCD Mallorca,Granada CF,ppd.,17/05/20
Real Madrid,Villarreal,ppd.,17/05/20
Real Sociedad,Sevilla FC,ppd.,17/05/20
Valencia,Espanyol,ppd.,17/05/20
CD Leganés,Real Madrid,-:-,24/05/20
Sevilla FC,Valencia,-:-,24/05/20
Espanyol,Celta de Vigo,-:-,24/05/20
Levante,Getafe,-:-,24/05/20
Alavés,FC Barcelona,-:-,24/05/20
Villarreal,SD Eibar,-:-,24/05/20
Granada CF,Athletic,-:-,24/05/20
CA Osasuna,RCD Mallorca,-:-,24/05/20
Atlético Madrid,Real Sociedad,-:-,24/05/20
Real Valladolid,Real Betis,-:-,24/05/20